"recipient_name","recipient_city_code","recipient_city_name","recipient_county_code","recipient_county_name","recipient_zip","recipient_state_code","recipient_country_code","recipient_type","receip_addr1","receip_addr2","receip_addr3","duns_no"
"open cities health center","58000","saint paul","123","ramsey","55104","mn","usa","12: other nonprofit","409 n dunlap st","","","134234764"
"kensington hospital","60000","philadelphia","101","philadelphia","19122","pa","usa","12: other nonprofit","136 w diamond st","","","071457022"
"arroyo vista family health foundation","44000","los angeles","037","los angeles","90042","ca","usa","12: other nonprofit","6000 n figueroa st","","","782711733"
"fred hutchinson cancer research center","63000","seattle","033","king","98109","wa","usa","12: other nonprofit","1100 fairview ave no j6-330","","","078200995"
"lawrence livermore national laboratory","41992","livermore","001","alameda","94551","ca","usa","12: other nonprofit","post office box 5516l-435","","","827171463"
"third st community clinic","47138","mansfield","139","richland","44906","oh","usa","12: other nonprofit","600 w third st","","","041642492"
"visiting nurse ass of central jersey commty","01960","asbury park","025","monmouth","07712","nj","usa","12: other nonprofit","1301 main st","","","929359040"
"community health clinic","53736","new kensington","129","westmoreland","15068","pa","usa","12: other nonprofit","943 4th ave","","","042455498"
"coastal family health center","03150","astoria","007","clatsop","97103","or","usa","12: other nonprofit","2111 exchange st","","","878136464"
"scranton-temple residency program","69000","scranton","069","lackawanna","18510","pa","usa","12: other nonprofit","746 jefferson avenue","","","786376525"
"mt sinai school of medicine","51000","new york","061","new york","10029","ny","usa","12: other nonprofit","1 gustave l levy pl box 3500","","","078861598"
"columbus neighborhood health center","18000","columbus","049","franklin","43215","oh","usa","12: other nonprofit","600 w spring st rear2","","","075683156"
"chase-brexton clinic","04000","baltimore","510","baltimore","21201","md","usa","12: other nonprofit","1001 cathedral st","","","621498906"
"rural health","01543","anna","181","union","62906","il","usa","12: other nonprofit","513 n main","","","095498903"
"mainegeneral health associates","27085","gardiner","011","kennebec","04345","me","usa","12: other nonprofit","150 dresden avenue","","","159719582"
"bronx community health network","08509","bronx","005","bronx","10458","ny","usa","12: other nonprofit","1 fordham plz ste 1108b","0","","135051899"
"e boston neighborhood health center corp","18280","e boston","025","suffolk","02128","ma","usa","12: other nonprofit","10 gove st","","","190604744"
"milton s hershey medical center","34144","hershey","043","dauphin","17033","pa","usa","12: other nonprofit","500 university dr pob 850","","","129348186"
"vanderbilt university hospital childrens re","52000","nashville","037","davidson","37232","tn","usa","12: other nonprofit","1161 21st avenue s","","","004413456"
"community health partnership of illinois","14000","chicago","031","cook","60601","il","usa","12: other nonprofit","203 n wabash ste 300","","","788090942"
"dc coalition against domestic violence","50000","washington","001","district of columbia","20001","dc","usa","12: other nonprofit","513 u st nw","","","942435124"
"carnegie institution of washington","50000","washington","001","district of columbia","20005","dc","usa","12: other nonprofit","1530 p st n w","","","072641707"
"little rivers health care","07225","bradford","017","orange","05033","vt","usa","12: other nonprofit","po box 338","","","137194440"
"dallas county hospital district","19000","dallas","113","dallas","75235","tx","usa","12: other nonprofit","5201 harris hines blvd","","","049046527"
"catawba valley medical center","31060","hickory","035","catawba","28602","nc","usa","12: other nonprofit","810 fairgrove church rd se","","","074508557"
"clinica campesinarural health clinic","41835","lafayette","013","boulder","80026","co","usa","12: other nonprofit","1345 plz court n","","","002541399"
"myrtle hilliard davis comprehensive health ce","65000","saint louis","510","st louis","63112","mo","usa","12: other nonprofit","5471 dr martin l king dr","","","024188948"
"tennessee coalition against domestic & sexual","52000","nashville","037","davidson","37212","tn","usa","12: other nonprofit","po box 120972","","","787712454"
"community development institute head start","20000","denver","031","denver","80231","co","usa","12: other nonprofit","10065 e harvard ave","","","183761720"
"helen b bentley family health center","13275","coconut creek","011","broward","33133","fl","usa","12: other nonprofit","3090 sw 37th ave","","","040992356"
"keystone rural health center","12536","chambersburg","055","franklin","17201","pa","usa","12: other nonprofit","820 fifth avenue","","","796235653"
"martin luther king jr family clinic","19000","dallas","113","dallas","75315","tx","usa","12: other nonprofit","po box 150128","","","784874158"
"lynn community health","37490","lynn","009","essex","01901","ma","usa","12: other nonprofit","269 union st","","","030834915"
"primary care providers for a healthy felician","15990","clinton","037","e feliciana","70722","la","usa","12: other nonprofit","11990 jackson st","","","799827642"
"american college of radiology","66672","reston","059","fairfax","20191","va","usa","12: other nonprofit","1891 preston white dr","","","062485800"
"laramie child development corporation","45050","laramie","001","albany","82070","wy","usa","12: other nonprofit","710 garfield room 171","","","193911377"
"curtis v cooper primary health center","69000","savannah","051","chatham","31402","ga","usa","12: other nonprofit","po box 2024","","","874222474"
"community health connection","75000","tulsa","143","tulsa","74129","ok","usa","12: other nonprofit","9912 e 21st st","","","168792559"
"dona ana county colonias dev council","39380","las cruces","013","dona ana","88001","nm","usa","12: other nonprofit","1050 monte vista","","","962803052"
"florida coalition against domestic violence","70600","tallahassee","073","leon","32301","fl","usa","12: other nonprofit","425 office plz","","","053274101"
"care for the homeless","51000","new york","061","new york","10010","ny","usa","12: other nonprofit","12 w 21st st 8th floor","","","883358996"
"w county health centers","31470","guerneville","097","sonoma","95446","ca","usa","12: other nonprofit","post office box 226","","","138331082"
"kenosha community health center","39225","kenosha","059","kenosha","53140","wi","usa","12: other nonprofit","4536 22nd avenue","","","838165173"
"international district community health cente","63000","seattle","033","king","98104","wa","usa","12: other nonprofit","720 8th avenue s ste 100","","","063928303"
"aids action coalition","37000","huntsville","089","madison","35804","al","usa","12: other nonprofit","600 st clair ave po box 871","","","938035946"
"alaska youth & family network","03000","anchorage","020","anchorage","99501","ak","usa","12: other nonprofit","144 w 15th avenue","","","141883665"
"childrens hospital medical center","15000","cincinnati","061","hamilton","45229","oh","usa","12: other nonprofit","3333 burnet avenue","","","071284913"
"family health care clinic","55760","pearl","121","rankin","39288","ms","usa","12: other nonprofit","po box 6227","","","088919030"
"family voices of alabama","50000","mobile","097","mobile","36604","al","usa","12: other nonprofit","1050 government st","","","787242713"
"dana-farber cancer institute","07000","boston","025","suffolk","02115","ma","usa","12: other nonprofit","44 binney st","","","076580745"
"baptist child & family services - hhs","65000","san antonio","029","bexar","78209","tx","usa","12: other nonprofit","909 ne loop 410","","","069459576"
"wayne action group for economic solvency","26880","goldsboro","191","wayne","27534","nc","usa","12: other nonprofit","601 e royall avenue","","","084169598"
"monroe counth health department","36550","key w","087","monroe","33040","fl","usa","12: other nonprofit","1100 simonton st","","","364215061"
"alger marquette community action board","51900","marquette","103","marquette","49855","mi","usa","12: other nonprofit","1125 commerce dr","","","089585350"
"arkansas valley organic growers","27975","fowler","089","otero","81039","co","usa","12: other nonprofit","5856 county rd hh 5","","","963455972"
"starr nursery llc","11781","calverton","103","suffolk","11933","ny","usa","12: other nonprofit","4152 middle county rd","","","150513203"
"natalbany volunteer fire department","53475","natalbany","105","tangipahoa","70451","la","usa","12: other nonprofit","p o box 337","","","131222507"
"fairchild fire protection district","24825","fairchild","035","eau claire","54741","wi","usa","12: other nonprofit","fairchild fire protection dstrct200","","","126057772"
"wadsworth atheneum museum of art","37000","hartford","003","hartford county","06103","ct","","12: other nonprofit","600 main stree","","","0101732840000"
"rural alaska community action program","03000","anchorage","020","anchorage","99520","ak","usa","12: other nonprofit","po box 200908","","","020247920"
"internews network","44910","arcata","060","humboldt","95521","ca","usa","12: other nonprofit","876 7th st","","","175146836"
"father flanagans boys home","06015","boys town","055","douglas","68010","ne","usa","12: other nonprofit","14100 crawford st","","","073136806"
"historical association of southern florida i","45000","miami","086","miami-dade","33130","fl","","12: other nonprofit","101c w flagler st","","","0738769710000"
"aca of central florida","41250","longwood","117","seminole county","32779","fl","","12: other nonprofit","2759 marsh wren circle","","","9694533490000"
"research foundation for mental hygiene","46536","menands","001","albany","12204","ny","usa","12: other nonprofit","150 broadway ste 301","","","167204994"
"school for international training the","07975","brattleboro","500","windham","05302","vt","usa","12: other nonprofit","po box 676 kipling rd","","","073961419"
"sea research foundation","49810","mystic","011","new london","06355","ct","usa","12: other nonprofit","55 coogan blvd","","","092465061"
"education development center","72600","waltham","017","middlesex","02453","ma","usa","12: other nonprofit","43 foundry avenue","","","076583830"
"woods hole oceanographic insti","81245","woods hole","001","barnstable","02543","ma","usa","12: other nonprofit","360 woods hole rd ms14","","","001766682"
"church world service","51000","new york","061","new york","10115","ny","","12: other nonprofit","475 riverside dr","ste 700","","006096754"
"mayo clinic","54880","rochester","109","olmsted","55905","mn","usa","12: other nonprofit","200 first st s w","","","006471700"
"family services of grant county","47245","moses lake","025","grant","98837","wa","usa","12: other nonprofit","903 w 3rd avenue","","","601812845"
"save the children federation","83570","westport","090","fairfield","06880","ct","usa","12: other nonprofit","54 wilton rd","","","072129919"
"western indiana community action","75428","terre haute","167","vigo","47808","in","usa","12: other nonprofit","po box 1018","","","121576292"
"st josephs hospital & medical center","55000","phoenix","013","maricopa","85013","az","usa","12: other nonprofit","350 w thomas rd","","","131606022"
"united states olympic committee","16000","colorado springs","041","el paso","80909","co","","12: other nonprofit","1 olympic plz","","","0752378001234"
"national democratic institute for internation","50000","washington","110","district of columbia","20036","dc","usa","12: other nonprofit","2030 m st nw 5th fl","","","110309622"
"commission on economic opportunity","85152","wilkes-barre","079","luzerne","18703","pa","","12: other nonprofit","165 amber lane","","","060493525"
"salvation army a california corporation","44000","los angeles","037","los angeles","90015","ca","","12: other nonprofit","900 w james m wood blvd","","","074629460"
"adirondack lakes survey corporation","60708","ray brook","031","essex","12977","ny","usa","12: other nonprofit","1115 nys rt86","","","194900288"
"new mexico veterans integration center","02000","albuquerque","001","bernalillo","87108","nm","","12: other nonprofit","13032 central ave se","","","164194826"
"hawaii disability rights centers","00000","honolulu","000","","96813","hi","usa","12: other nonprofit","1132 bishop st ste 2102","","","084553528"
"northern rhode island cmty mental health ctr","80780","woonsocket","007","providence","02895","ri","","12: other nonprofit","800 clinton st","","","099417222"
"the bronx museum of the arts","99005","bronx county bronx","005","bronx","10456","ny","","12: other nonprofit","1040 grand concourse bronx","","","038226833"
"clara white mission","35000","jacksonville","031","duval","32202","fl","","12: other nonprofit","613 w ashley st","","","096278445"
"vitality unlimited dba vitality center","22500","elko","007","elko","89801","nv","","12: other nonprofit","1170 colt dr","","","161270483"
"veterans","82000","worcester","027","worcester","01605","ma","","12: other nonprofit","69 grove st","","","941967796"
"district iii area agency on aging","77092","warrensburg","101","johnson","64093","mo","usa","12: other nonprofit","106 w young po box 1078","","","939252714"
"central electric epa","11770","carthage","079","leake","39051","ms","usa","12: other nonprofit","p o box 477","104 e main st","","041222050"
"altamont program","65508","schenectady","093","schenectady","12304","ny","","12: other nonprofit","428 duane avenue","","","797968179"
"colorado solar energy industries association","07850","boulder","013","boulder","80303","co","","12: other nonprofit","2995 baseline rd ste 312","","","1462644400000"
"n florida child development","","wewahichka","045","gulf","32465","fl","usa","12: other nonprofit","po box 38","","","135792294"
"cold spring harbor laboratory association in","16947","cold spring harbor","103","suffolk","11724","ny","usa","12: other nonprofit","1 bungtown rd","","","065968786"
"gulf states marine fisheries commission","53520","ocean springs","059","jackson","39566","ms","usa","12: other nonprofit","p o box 726","2404 government st","","039957428"
"friends of children of mississippi","36000","jackson","049","hinds","39213","ms","usa","12: other nonprofit","6425 lakeover rd","0","","077902534"
"community programs center of long island","32732","hauppauge","103","suffolk","11788","ny","usa","12: other nonprofit","250 marcus blvd","","","055253041"
"exceptional childrens assistance center","16400","davidson","119","mecklenburg","28036","nc","usa","12: other nonprofit","907 barra row ste 102","","","614002350"
"schepens eye research institute","07000","boston","025","suffolk","02114","ma","usa","12: other nonprofit","20 staniford st","","","073826000"
"university corporation for atmospheric resear","07850","boulder","013","boulder","80305","co","usa","12: other nonprofit","1850 table mesa dr","","","078339587"
"native american coalition of tulsa","75000","tulsa","143","tulsa","74107","ok","usa","12: other nonprofit","1740 w 41st st","","","052382579"
"salisbury rowan community action agency","58860","salisbury","159","rowan","28145","nc","usa","12: other nonprofit","po box 631","","","170667315"
"steelworkers charitable & educational organ","61000","pittsburgh","003","allegheny","15222","pa","","12: other nonprofit","five gateway center rm 902","","","6008272520000"
"nw symphony orchestra","63000","seattle","033","wa","98116","wa","","12: other nonprofit","po box 16231","","","9498992490000"
"mennonite economic development associates","66224","lancaster","420","lancaster","17601","pa","usa","12: other nonprofit","32c e roseville rd","","","826255648"
"national council on aging","50000","washington","001","na","20036","dc","usa","12: other nonprofit","1901 l st nw 4th floor","","","074838848"
"u s civilian research & development foundatio","69104","arlington","510","arlington","22209","va","usa","12: other nonprofit","1530 wilson blvd ste 300","","","929494532"
"city-wide tax assistance program","14000","chicago","031","cook","60606","il","usa","12: other nonprofit","233 s wacker dr","ste 9100","","148393650"
"united way of greenwood county","30895","greenwood","047","greenwood","29646","sc","usa","12: other nonprofit","929 phoenix st","","","360877880"
"adventist development & relief agency inter","72450","silver spring","240","montgomery","20904","md","usa","12: other nonprofit","12501 old columbia pke","","","070112834"
"united way of saginaw county","70520","saginaw","145","saginaw","48607","mi","usa","12: other nonprofit","100 s jefferson","3rd floor","","072785934"
"fhi development 360 llc","19000","durham","370","durham","27713","nc","usa","12: other nonprofit","2224 e nc hwy 54","","","968456694"
"childrens hospital corporation","07000","boston","025","suffolk","02115","ma","usa","12: other nonprofit","300 longwood avenue","","","076593722"
"whitehead institute for biomedical research","11000","cambridge","017","middlesex","02139","ma","usa","12: other nonprofit","9 cambridge center","","","120989983"
"international citycounty management associat","50000","washington","110","district of columbia","20002","dc","usa","12: other nonprofit","777 n capitol st ne ste 500","","","072631831"
"aero institute","55156","palmdale","037","los angeles","93550","ca","usa","12: other nonprofit","38256 sierra hwy ste a","","","6236050240000"
"koreatown youth & community center","44000","los angeles","037","los angeles","90020","ca","usa","12: other nonprofit","3727 w sixth st","ste 300","","126670959"
"state employees credit union","55000","raleigh","183","wake","27609","nc","usa","12: other nonprofit","3101 wake forest rd","","","072016967"
"n county lifeline","82996","vista","073","san diego","92084","ca","usa","12: other nonprofit","200 michigan avenue","","","115336844"
"greenaction for health & environmental just","67000","san francisco","075","san francisco","94103","ca","usa","12: other nonprofit","703 market st ste 501","","","112719971"
"wayne-metropolitan community action agency","88900","wyandotte","163","wayne","48192","mi","","12: other nonprofit","2121 biddle ste 102","","","053258109"
"mercy corps","59000","portland","410","multnomah","97204","or","usa","12: other nonprofit","45 sw ankeny st","","","134170547"
"volunteers of america northern new england","08395","brunswick","005","cumberland","04011","me","usa","12: other nonprofit","14 maine st ste 301","","","965725351"
"rural utah child development","82510","wellington","007","carbon","84542","ut","usa","12: other nonprofit","post office box 508","","","144759768"
"ann arbor center for independent living","03000","ann arbor","161","washtenaw","48108","mi","","12: other nonprofit","3941 research park dr","","","052532066"
"united way of the greater capital region","01000","albany","001","albany","12212","ny","usa","12: other nonprofit","1 united way","","","086958170"
"united way of greenville county","30850","greenville","045","greenville","29607","sc","usa","12: other nonprofit","105 edinburgh court","","","078063062"
"hazel joyce wiley career & financial literacy","70050","shelbyville","211","shelby","40066","ky","usa","12: other nonprofit","330 main st","","","187291096"
"n penn comprehensive health services","07160","blossburg","117","tioga","16912","pa","usa","12: other nonprofit","po box 8","","","079162939"
"massachusetts association for community actio","07000","boston","025","suffolk","02111","ma","usa","12: other nonprofit","105 chauncy st","3rd floor","","030557602"
"world vision","23515","federal way","530","king","98001","wa","usa","12: other nonprofit","34834 weyerhaeuser way s","","","071903322"
"new york university medical center","51000","new york","061","new york","10016","ny","usa","12: other nonprofit","550 1st ave sc-2 kips bay bg","","","121911077"
"montclair child development center","47490","montclair","013","essex","07042","nj","usa","12: other nonprofit","33 fulton st","","","098359623"
"kaleidoscope foundation","41000","little rock","119","pulaski","72223","ar","usa","12: other nonprofit","39 river estates cove","","","831602185"
"plumas county fire safe council","59080","quincy","063","plumas","95971","ca","usa","12: other nonprofit","550 crescent st","po box 1225","","198663192"
"arizona state parks foundation","55000","phoenix","013","maricopa","85030","az","usa","12: other nonprofit","p o box 4216","","","805341794"
"client assistance program","63000","seattle","033","king","98144","wa","usa","12: other nonprofit","2531 rainier ave s","","","612653022"
"catamount trail association","10675","burlington","007","chittenden","05401","vt","usa","12: other nonprofit","1 mill st","ste 350","","958509879"
"helen keller international","51000","new york","360","new york","10010","ny","usa","12: other nonprofit","352 park ave s fl 12","","","037799178"
"assistance league of southern california","44000","panorama city","037","los angeles","91402","ca","","12: other nonprofit","8134 van nuys blvd num200","","","074136847"
"senior services","42160","kalamazoo","077","kalamazoo","49001","mi","","12: other nonprofit","918 jasper st","","","021041082"
"childrens hospital of philadelphia","60000","philadelphia","101","philadelphia","19104","pa","usa","12: other nonprofit","34th st & civic center blvd","","","073757627"
"concern worldwide us","51000","new york","360","new york","10017","ny","usa","12: other nonprofit","355 lexington ave fl 19","","","878838424"
"virgin islands advocacy","00000","frederiksted","059","fairfax","00840","va","usa","12: other nonprofit","63 cane carlton","","","016780541"
"interactionamerican council for voluntary in","50000","washington","001","district of columbia","20036","dc","","12: other nonprofit","1400 16th st nw","ste 210","","173311077"
"science foundation arizona","55000","phoenix","013","maricopa","85004","az","usa","12: other nonprofit","400 e van buren ste 200","","","780515370"
"cary institute of ecosystem studies","47262","millbrook","027","dutchess","12545","ny","usa","12: other nonprofit","2801 sharon tpke","","","781388392"
"sanford-burnham medical research institute","39360","la jolla","073","san diego","92037","ca","usa","12: other nonprofit","10901 n torrey pines rd","","","020520466"
"one hope united - hudelson region","12164","centralia","027","clinton","62801","il","","12: other nonprofit","1400 e mccord","","","035321447"
"easter seals n texas","27000","fort worth","439","tarrant","76107","tx","usa","12: other nonprofit","1555 merrimac circle ste 102","","","0598766800000"
"unicef","51000","new york","360","new york","10017","ny","usa","12: other nonprofit","3 united nations plz","","","017698452"
"disability rights florida","70600","tallahassee","073","leon","32301","fl","usa","12: other nonprofit","2728 centerview dr ste 102","","","188555437"
"massachusetts eye & ear infirmary off of res","07000","boston","025","suffolk","02114","ma","usa","12: other nonprofit","243 charles st","","","073825945"
"universities research association","50000","washington","001","dist of columbia","20036","dc","usa","12: other nonprofit","1111 19th st nw","ste 400","","055185946"
"africare","50000","washington","001","district of columbia","20001","dc","usa","12: other nonprofit","440 r st nw","","","074825894"
"catholic charities diocese st cloud","56896","st cloud","009","benton","56303","mn","","12: other nonprofit","911 18th st n","","","020493235"
"macon-bibb county economic opportunity counci","49000","macon","021","bibb","31201","ga","","12: other nonprofit","653 second st","ste 200","","827633152"
"american museum of natural history the","51000","new york","061","new york","10024","ny","usa","12: other nonprofit","central park w at 79th st","","","061202768"
"s carolina research foundation","16000","columbia","079","richland","29208","sc","usa","12: other nonprofit","901 sumter st","ste 510","","111310249"
"vt st protect & adovcacy","46000","montpelier","023","washington","05602","vt","usa","12: other nonprofit","141 main st ste 7","","","809376155"
"federal hill house association","59000","providence","007","providence","02909","ri","","12: other nonprofit","9 courtland st","","","926249392"
"smithsonian institution 6027","11000","cambridge","017","middlesex","02138","ma","usa","12: other nonprofit","60 garden st","","","0032618230000"
"research triangle institute","","rsch triangle pk","063","durham","27709","nc","usa","12: other nonprofit","po box 12194","","","004868105"
"tri county industries","57500","rocky mount","065","edgecombe","27801","nc","usa","12: other nonprofit","1250 atlantic avenue","","","0400341590000"
"oregon-california trails associatio n","35000","independence","095","jackson","64050","mo","","12: other nonprofit","524 s osage st","","","8097068310000"
"seti institute","49670","mountain view","085","santa clara","94043","ca","usa","12: other nonprofit","515 n whisman rd","","","1373155520000"
"abilities","01011","albertson","059","nassau","11507","ny","usa","12: other nonprofit","201 iu willets rd","","","0020349320000"
"rhode island hospital","59000","providence","007","providence","02903","ri","usa","12: other nonprofit","593 eddy st aldrich 317","","","075710996"
"enterprise minnesota","43000","minneapolis","053","hennepin","55415","mn","usa","12: other nonprofit","310 4th avenue s","ste 7050","","180607103"
"senior service america","72450","silver spring","031","montgomery","20910","md","usa","12: other nonprofit","8403 colesville rd ste 1200","","","849854310"
"earthquake engineering research institute","53000","oakland","001","alameda","94612","ca","usa","12: other nonprofit","499 14th st ste 220","","","098317522"
"national older worker career center","03000","arlington","013","arlington","22203","va","usa","12: other nonprofit","3811 n fairfax dr ste 900","","","171885353"
"w virginia university research corporation","55756","morgantown","061","monongalia","26506","wv","usa","12: other nonprofit","po box 6845","","","191510239"
"the legal aid society of cleveland","16000","cleveland","035","cuyahoga","44113","oh","usa","12: other nonprofit","1223 w sixth st","","","147190052"
"warren county community services","42364","lebanon","165","warren","45036","oh","","12: other nonprofit","570 n state","route 741","","091829440"
"jim metzner productions","39727","kingston","111","ulster","12401","ny","usa","12: other nonprofit","7 lansing lane","","","075184051"
"catholic charities diocese of joliet","38570","joliet","093","kendall","60432","il","","12: other nonprofit","203 n ottawa st","","","165912106"
"regent of the university of minnesota","43000","minneapolis","053","hennepin","55455","mn","usa","12: other nonprofit","200 oak st","","","555917996"
"alamo community college district","65000","san antonio","029","bexar","78203","tx","usa","12: other nonprofit","1801 martin luther king dr","","","193085669"
"catholic social services of oakland","70040","royal oak","125","oakland","48067","mi","","12: other nonprofit","1424 e 11 mile rd","","","074240433"
"latino resource center","40120","jackson","039","teton","83001","wy","usa","12: other nonprofit","170 n glenwood st","","","118672703"
"lbj&c development corporation","16920","cookeville","141","putnam","38501","tn","","12: other nonprofit","240 carlen dr","","","058128489"
"the corporation of gonzaga university","67000","spokane","063","spokane","99258","wa","usa","12: other nonprofit","e 502 boone avenue","","","079265732"
"ohio district 5 area agency on aging","47138","mansfield","139","richland","44906","oh","","12: other nonprofit","780 park avenue w","","","847505724"
"el paso credit union hoap","24000","el paso","141","el paso","79925","tx","usa","12: other nonprofit","6801 viscount","ste a","","362483757"
"blue grass community action agency","28900","frankfort","073","franklin","40601","ky","","12: other nonprofit","111 professional ct","","","144314226"
"central missouri community action","15670","columbia","019","boone","65203","mo","","12: other nonprofit","807 b n providence rd","","","188596456"
"audubon area community services","58620","owensboro","059","daviess","42301","ky","","12: other nonprofit","1700 w 5th st","","","092567346"
"ecumen","59998","shoreview","123","ramsey","55126","mn","","12: other nonprofit","3530 lexington ave n","","","171757433"
"lincoln hills development corporation","75248","tell city","123","perry","47586","in","","12: other nonprofit","po box 336","302 main st","","020423448"
"economic opportunity authority for savannah-c","69000","savannah","051","chatham","31415","ga","","12: other nonprofit","618 w anderson st","po box 1353 31402-1353","","056053184"
"nw nj community action program","58350","phillipsburg","041","warren","08865","nj","","12: other nonprofit","350 marshall st","","","060808219"
"region x education service center","61796","richardson","113","dallas","75083","tx","usa","12: other nonprofit","po box 831300","","","074875592"
"texas a&m university health science center","15976","college station","041","brazos","77840","tx","usa","12: other nonprofit","301 tarrow","","","835607441"
"vietnam veterans of california","23042","eureka","023","humboldt","95402","ca","","12: other nonprofit","2107 3rd st","","","019466791"
"michigan nonprofit association","46000","lansing","045","eaton","48912","mi","","12: other nonprofit","330 marshall st","ste 200","","027690952"
"zion episcopal church","03353","avon","051","livingston","14414","ny","","12: other nonprofit","33 n avenue","","","780404245"
"louisiana philharmonic orchestra","55000","new orleans","071","orleans","70112","la","","12: other nonprofit","1010 common st ste 2120","","","7980385270000"
"maya advertising & communications","50000","washington","001","district of columbia","20007","dc","usa","12: other nonprofit","1028 33rd st nw","ste 200","","926116617"
"seattle childrens hospital","63000","seattle","033","king","98105","wa","usa","12: other nonprofit","4800 sand point way ne","","","048682157"
"norwalk economic opportunity now","70970","s norwalk","001","fairfield","06854","ct","usa","12: other nonprofit","98 s main st","","","075413492"
"peppadew fresh llc","48030","morganville","025","monmouth","07751","nj","usa","12: other nonprofit","97 harbor rd","","","829729560"
"american council on education","50000","washington","110","district of columbia","20036","dc","usa","12: other nonprofit","1 dupont circle nw ste 800","","","072638943"
"arts midwest","43000","minneapolis","053","hennepin county","55408","mn","","12: other nonprofit","2908 hennepin avenue","ste 200","","1854611830000"
"charles stark draper laborator","11000","cambridge","017","middlesex","02139","ma","usa","12: other nonprofit","555 technology square","","","066587478"
"international center of photography","51000","new york","061","new york county","10036","ny","","12: other nonprofit","1114 avenue of the americas","","","0752524860000"
